order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at
1863,39,738,536,4,cash,2017-03-01 0:08:09
1742,39,910,268,2,cash,2017-03-01 0:10:19
3229,97,912,324,2,cash,2017-03-01 0:14:12
1268,80,798,290,2,credit_card,2017-03-01 0:19:31
2690,49,799,258,2,credit_card,2017-03-01 0:22:25
1442,39,723,134,1,debit,2017-03-01 0:26:39
1116,52,815,584,4,cash,2017-03-01 0:31:04
3225,22,874,292,2,cash,2017-03-01 0:40:19
1687,74,901,459,3,credit_card,2017-03-01 0:43:39
3957,52,745,146,1,debit,2017-03-01 0:44:32
2109,58,718,138,1,debit,2017-03-01 0:47:54
1547,1,747,158,1,debit,2017-03-01 1:08:33
4167,32,734,202,2,credit_card,2017-03-01 1:09:59
1050,12,708,402,2,debit,2017-03-01 1:11:03
460,33,898,519,3,credit_card,2017-03-01 1:17:24
2796,41,845,118,1,cash,2017-03-01 1:29:16
4553,13,887,160,1,credit_card,2017-03-01 1:35:03
2787,43,876,724,4,credit_card,2017-03-01 1:41:43
4019,96,891,153,1,cash,2017-03-01 1:54:11
1265,57,715,294,2,debit,2017-03-01 2:31:42
2316,77,769,312,2,debit,2017-03-01 2:47:04
4442,75,948,128,1,credit_card,2017-03-01 3:00:12
2920,27,953,338,2,debit,2017-03-01 3:00:17
196,37,745,426,3,credit_card,2017-03-01 3:00:39
4312,78,960,51450,2,debit,2017-03-01 3:02:10
4040,32,718,202,2,debit,2017-03-01 3:06:05
109,58,926,276,2,cash,2017-03-01 3:15:13
3153,46,727,166,1,cash,2017-03-01 3:24:42
4525,66,784,483,3,credit_card,2017-03-01 3:25:19
2566,3,864,148,1,credit_card,2017-03-01 3:43:43
1189,86,857,260,2,debit,2017-03-01 3:47:30
4371,76,749,310,2,credit_card,2017-03-01 3:48:05
4747,63,717,408,3,debit,2017-03-01 3:48:20
1689,45,782,142,1,debit,2017-03-01 3:50:08
2359,34,773,366,3,debit,2017-03-01 4:04:07
1756,79,941,181,1,cash,2017-03-01 4:25:31
2490,34,924,488,4,debit,2017-03-01 4:29:36
2231,30,772,153,1,debit,2017-03-01 4:30:37
2551,91,881,160,1,debit,2017-03-01 4:32:13
5,18,883,156,1,credit_card,2017-03-01 4:35:11
3737,22,829,292,2,cash,2017-03-01 4:45:25
4660,47,894,725,5,cash,2017-03-01 4:49:59
2943,19,970,489,3,credit_card,2017-03-01 5:08:06
4620,91,926,800,5,credit_card,2017-03-01 5:10:03
3169,14,719,232,2,cash,2017-03-01 5:31:29
3179,59,715,178,1,credit_card,2017-03-01 5:31:43
3588,5,810,284,2,credit_card,2017-03-01 5:33:27
3147,28,750,492,3,credit_card,2017-03-01 5:33:31
4412,50,756,386,2,debit,2017-03-01 5:36:30
1271,57,743,294,2,cash,2017-03-01 5:37:40
1218,82,759,708,4,debit,2017-03-01 5:38:36
164,63,915,272,2,debit,2017-03-01 6:07:29
3214,22,883,292,2,debit,2017-03-01 6:08:11
1299,31,858,516,4,cash,2017-03-01 6:17:37
2707,8,833,132,1,debit,2017-03-01 6:22:21
96,35,975,328,2,credit_card,2017-03-01 6:27:42
1500,79,781,181,1,debit,2017-03-01 6:38:53
526,73,830,660,4,cash,2017-03-01 6:42:32
699,40,734,483,3,cash,2017-03-01 7:05:33
4060,100,701,444,4,debit,2017-03-01 7:14:05
4298,66,904,322,2,cash,2017-03-01 7:23:48
3449,24,942,420,3,cash,2017-03-01 7:25:41
1480,13,938,480,3,debit,2017-03-01 7:40:37
3177,96,856,459,3,debit,2017-03-01 7:47:32
2035,55,773,342,2,debit,2017-03-01 7:49:51
2227,69,987,131,1,cash,2017-03-01 8:02:23
4936,11,789,368,2,credit_card,2017-03-01 8:08:06
4380,31,871,387,3,cash,2017-03-01 8:10:49
2859,25,836,390,3,credit_card,2017-03-01 8:21:31
1261,69,819,262,2,credit_card,2017-03-01 8:23:38
3328,77,816,156,1,credit_card,2017-03-01 8:31:16
919,60,852,354,2,credit_card,2017-03-01 8:31:35
2057,35,706,164,1,credit_card,2017-03-01 8:34:45
3718,13,746,160,1,cash,2017-03-01 8:36:10
3368,21,893,142,1,cash,2017-03-01 8:36:23
683,6,847,187,1,cash,2017-03-01 9:06:32
3007,18,887,156,1,credit_card,2017-03-01 9:19:34
4881,14,967,348,3,debit,2017-03-01 9:28:14
821,87,866,447,3,credit_card,2017-03-01 9:52:51
4844,43,701,543,3,cash,2017-03-01 9:56:42
1144,3,946,296,2,debit,2017-03-01 10:00:06
